Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
CAPE ROYALE,COVE WAY,04,Non-Landed Properties,4,"20,000",280 to 290,"3,100 to 3,200",Sep-23
CENTRAL GREEN CONDOMINIUM,JALAN MEMBINA,03,Non-Landed Properties,2,"4,700",80 to 90,"900 to 1,000",Sep-23
RIVIERE,JIAK KIM STREET,03,Non-Landed Properties,3,"8,200",100 to 110,"1,100 to 1,200",Sep-23
QUEENS PEAK,DUNDEE ROAD,03,Non-Landed Properties,1,"4,000",40 to 50,400 to 500,Sep-23
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,3,"7,650",120 to 130,"1,300 to 1,400",Sep-23
SKYSUITES@ANSON,ENGGOR STREET,02,Non-Landed Properties,2,"6,000",60 to 70,600 to 700,Sep-23
MARINA BAY SUITES,CENTRAL BOULEVARD,01,Non-Landed Properties,3,"9,500",140 to 150,"1,500 to 1,600",Sep-23
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,4,"20,000",390 to 400,"4,200 to 4,300",Sep-23
SKYSUITES@ANSON,ENGGOR STREET,02,Non-Landed Properties,NA,"3,400",30 to 40,300 to 400,Sep-23
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,4,"17,200",430 to 440,"4,600 to 4,700",Sep-23
THE CLEMENT CANOPY,CLEMENTI AVENUE 1,05,Non-Landed Properties,2,"4,300",50 to 60,600 to 700,Sep-23
TWIN VEW,WEST COAST VALE,05,Non-Landed Properties,3,"6,300",100 to 110,"1,100 to 1,200",Sep-23
THE CLIFT,MCCALLUM STREET,01,Non-Landed Properties,1,"4,000",40 to 50,500 to 600,Sep-23
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,2,"5,800",80 to 90,800 to 900,Sep-23
CAPE ROYALE,COVE WAY,04,Non-Landed Properties,3,"9,250",170 to 180,"1,900 to 2,000",Sep-23
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,2,"5,500",80 to 90,800 to 900,Sep-23
DOVER PARKVIEW,DOVER RISE,05,Non-Landed Properties,2,"4,200",90 to 100,"900 to 1,000",Sep-23
BIJOU,JALAN MAT JAMBOL,05,Non-Landed Properties,2,"3,300",70 to 80,700 to 800,Sep-23
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,2,"4,300",60 to 70,700 to 800,Sep-23
HARBOURLIGHTS,TELOK BLANGAH ROAD,04,Non-Landed Properties,2,"3,900",70 to 80,700 to 800,Sep-23
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,2,"6,200",100 to 110,"1,000 to 1,100",Sep-23
MARINA BAY RESIDENCES,MARINA BOULEVARD,01,Non-Landed Properties,4,"15,000",220 to 230,"2,300 to 2,400",Sep-23
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,1,"4,500",60 to 70,600 to 700,Sep-23
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,3,"11,800",170 to 180,"1,800 to 1,900",Sep-23
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,3,"7,900",90 to 100,"900 to 1,000",Sep-23
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,2,"5,000",60 to 70,700 to 800,Sep-23
ECHELON,ALEXANDRA VIEW,03,Non-Landed Properties,1,"3,900",40 to 50,400 to 500,Sep-23
MARINA BAY RESIDENCES,MARINA BOULEVARD,01,Non-Landed Properties,1,"5,500",60 to 70,700 to 800,Sep-23
KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,1,"3,600",40 to 50,400 to 500,Sep-23
ICON,GOPENG STREET,02,Non-Landed Properties,2,"6,200",80 to 90,"900 to 1,000",Sep-23
TIONG BAHRU ESTATE,GUAN CHUAN STREET,03,Non-Landed Properties,NA,"4,500",100 to 110,"1,000 to 1,100",Sep-23
MARINA BAY RESIDENCES,MARINA BOULEVARD,01,Non-Landed Properties,1,"5,750",60 to 70,700 to 800,Sep-23
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,1,"4,000",50 to 60,600 to 700,Sep-23
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,2,"4,000",60 to 70,700 to 800,Sep-23
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-Landed Properties,2,"5,000",60 to 70,600 to 700,Sep-23
THE CREST,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,4,"8,700",150 to 160,"1,600 to 1,700",Sep-23
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,2,"6,000",80 to 90,800 to 900,Sep-23
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,3,"8,850",140 to 150,"1,500 to 1,600",Sep-23
PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,2,"6,000",70 to 80,800 to 900,Sep-23
VILLA DE WEST,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"5,800",120 to 130,"1,300 to 1,400",Sep-23
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,3,"6,500",80 to 90,"900 to 1,000",Sep-23
RIVER PLACE,HAVELOCK ROAD,03,Non-Landed Properties,2,"6,500",90 to 100,"1,000 to 1,100",Sep-23
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,1,"4,000",40 to 50,400 to 500,Sep-23
THE PARC CONDOMINIUM,WEST COAST WALK,05,Non-Landed Properties,2,"5,100",90 to 100,"900 to 1,000",Sep-23
THE RESIDENCES AT W SINGAPORE SENTOSA COVE,OCEAN WAY,04,Non-Landed Properties,3,"9,800",150 to 160,"1,600 to 1,700",Aug-23
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,2,"8,000",100 to 110,"1,100 to 1,200",Aug-23
BIJOU,JALAN MAT JAMBOL,05,Non-Landed Properties,1,"4,100",50 to 60,600 to 700,Aug-23
RIVER PLACE,HAVELOCK ROAD,03,Non-Landed Properties,1,"4,100",60 to 70,600 to 700,Aug-23
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,2,"4,400",50 to 60,600 to 700,Aug-23
NON-LANDED HOUSING DEVELOPMENT,HAVELOCK ROAD,03,Non-Landed Properties,NA,"3,300",90 to 100,"1,000 to 1,100",Aug-23
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,1,"3,600",40 to 50,500 to 600,Aug-23
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,4,"20,000",200 to 210,"2,200 to 2,300",Aug-23
ICON,GOPENG STREET,02,Non-Landed Properties,2,"5,700",80 to 90,"900 to 1,000",Aug-23
THE MAYLEA,PASIR PANJANG ROAD,05,Non-Landed Properties,1,"3,450",50 to 60,500 to 600,Aug-23
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,3,"8,800",230 to 240,"2,400 to 2,500",Aug-23
ECHELON,ALEXANDRA VIEW,03,Non-Landed Properties,3,"7,000",90 to 100,"1,000 to 1,100",Aug-23
THE BERTH BY THE COVE,OCEAN DRIVE,04,Non-Landed Properties,4,"9,800",210 to 220,"2,300 to 2,400",Aug-23
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,2,"5,600",80 to 90,800 to 900,Aug-23
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,1,"6,600",70 to 80,700 to 800,Aug-23
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,1,"4,000",40 to 50,500 to 600,Aug-23
THE PEAK@BALMEG,BALMEG HILL,05,Non-Landed Properties,3,"5,675",140 to 150,"1,500 to 1,600",Aug-23
QUEENS,STIRLING ROAD,03,Non-Landed Properties,2,"4,900",80 to 90,"900 to 1,000",Aug-23
RIVER PLACE,HAVELOCK ROAD,03,Non-Landed Properties,1,"4,600",70 to 80,700 to 800,Aug-23
THE ANCHORAGE,ALEXANDRA ROAD,03,Non-Landed Properties,2,"4,900",100 to 110,"1,100 to 1,200",Aug-23
THE BERTH BY THE COVE,OCEAN DRIVE,04,Non-Landed Properties,4,"12,500",280 to 290,"3,000 to 3,100",Aug-23
ONE-NORTH RESIDENCES,ONE-NORTH GATEWAY,05,Non-Landed Properties,2,"7,905",110 to 120,"1,200 to 1,300",Aug-23
THE METROPOLITAN CONDOMINIUM,ALEXANDRA VIEW,03,Non-Landed Properties,3,"8,100",130 to 140,"1,400 to 1,500",Aug-23
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,1,"3,800",40 to 50,400 to 500,Aug-23
WHITEHAVEN,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"5,000",70 to 80,700 to 800,Aug-23
ECHELON,ALEXANDRA VIEW,03,Non-Landed Properties,1,"4,000",40 to 50,400 to 500,Aug-23
EMERALD PARK,INDUS ROAD,03,Non-Landed Properties,2,"4,300",80 to 90,"900 to 1,000",Aug-23
THE INTERLACE,DEPOT ROAD,04,Non-Landed Properties,3,"7,200",140 to 150,"1,500 to 1,600",Aug-23
ONE-NORTH RESIDENCES,ONE-NORTH GATEWAY,05,Non-Landed Properties,3,"6,500",130 to 140,"1,400 to 1,500",Aug-23
KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,1,"3,600",40 to 50,400 to 500,Aug-23
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,3,"7,500",110 to 120,"1,200 to 1,300",Aug-23
THE INTERLACE,DEPOT ROAD,04,Non-Landed Properties,4,"12,200",210 to 220,"2,300 to 2,400",Aug-23
WESTPOINT CONDOMINIUM,PEPYS ROAD,05,Non-Landed Properties,4,"7,622",220 to 230,"2,400 to 2,500",Aug-23
THE CLIFT,MCCALLUM STREET,01,Non-Landed Properties,1,"4,300",40 to 50,500 to 600,Aug-23
SPOTTISWOODE PARK,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,NA,"3,100",110 to 120,"1,200 to 1,300",Aug-23
ONE SHENTON,SHENTON WAY,01,Non-Landed Properties,1,"4,300",50 to 60,500 to 600,Aug-23
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,2,"6,500",100 to 110,"1,100 to 1,200",Aug-23
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,3,"7,000",110 to 120,"1,200 to 1,300",Aug-23
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,2,"5,200",80 to 90,"900 to 1,000",Aug-23
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,1,"5,994",60 to 70,600 to 700,Aug-23
ARTRA,ALEXANDRA VIEW,03,Non-Landed Properties,2,"5,500",70 to 80,700 to 800,Aug-23
THE INTERLACE,DEPOT ROAD,04,Non-Landed Properties,2,"4,700",90 to 100,"1,000 to 1,100",Aug-23
RIVIERE,JIAK KIM STREET,03,Non-Landed Properties,2,"7,500",70 to 80,800 to 900,Aug-23
THE BEACON,CANTONMENT ROAD,02,Non-Landed Properties,2,"5,700",100 to 110,"1,100 to 1,200",Aug-23
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,1,"4,400",40 to 50,500 to 600,Aug-23
THE INTERLACE,DEPOT ROAD,04,Non-Landed Properties,3,"14,200",340 to 350,"3,600 to 3,700",Aug-23
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,2,"8,100",130 to 140,"1,400 to 1,500",Aug-23
THE TRILINQ,JALAN LEMPENG,05,Non-Landed Properties,3,"5,500",120 to 130,"1,300 to 1,400",Aug-23
ICON @ PASIR PANJANG,PASIR PANJANG ROAD,05,Non-Landed Properties,5,"7,000",160 to 170,"1,700 to 1,800",Aug-23
HIGHLINE RESIDENCES,KIM TIAN ROAD,03,Non-Landed Properties,2,"5,300",60 to 70,600 to 700,Aug-23
HERITAGE VIEW,DOVER RISE,05,Non-Landed Properties,2,"4,500",90 to 100,"900 to 1,000",Aug-23
ONE SHENTON,SHENTON WAY,01,Non-Landed Properties,1,"4,300",50 to 60,500 to 600,Aug-23
MARINA BAY SUITES,CENTRAL BOULEVARD,01,Non-Landed Properties,3,"9,000",150 to 160,"1,600 to 1,700",Aug-23
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,2,"5,000",50 to 60,600 to 700,Aug-23
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,3,"7,300",120 to 130,"1,300 to 1,400",Aug-23
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,2,"4,900",50 to 60,600 to 700,Aug-23
MARINA BAY RESIDENCES,MARINA BOULEVARD,01,Non-Landed Properties,1,"5,500",60 to 70,700 to 800,Aug-23
MARINA BAY SUITES,CENTRAL BOULEVARD,01,Non-Landed Properties,4,"10,800",190 to 200,"2,000 to 2,100",Aug-23
THE PARC CONDOMINIUM,WEST COAST WALK,05,Non-Landed Properties,3,"5,200",110 to 120,"1,200 to 1,300",Aug-23
PASIR VIEW PARK,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"4,600",120 to 130,"1,300 to 1,400",Aug-23
BIJOU,JALAN MAT JAMBOL,05,Non-Landed Properties,1,"3,300",50 to 60,500 to 600,Aug-23
BOTANNIA,WEST COAST PARK,05,Non-Landed Properties,3,"5,900",140 to 150,"1,500 to 1,600",Aug-23
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,2,"7,700",90 to 100,"1,000 to 1,100",Aug-23
BANYAN CONDOMINIUM,CHWEE CHIAN ROAD,05,Non-Landed Properties,NA,"4,800",170 to 180,"1,800 to 1,900",Aug-23
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"6,100",100 to 110,"1,000 to 1,100",Aug-23
SEASCAPE,COVE WAY,04,Non-Landed Properties,4,"15,000",260 to 270,"2,800 to 2,900",Aug-23
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,2,"7,800",90 to 100,"1,000 to 1,100",Aug-23
CAPE ROYALE,COVE WAY,04,Non-Landed Properties,3,"9,300",170 to 180,"1,900 to 2,000",Aug-23
MARINA BAY SUITES,CENTRAL BOULEVARD,01,Non-Landed Properties,3,"9,500",140 to 150,"1,500 to 1,600",Aug-23
KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,3,"6,000",90 to 100,"1,000 to 1,100",Aug-23
ALEXIS,ALEXANDRA ROAD,03,Non-Landed Properties,2,"4,500",70 to 80,700 to 800,Aug-23
V ON SHENTON,SHENTON WAY,01,Non-Landed Properties,2,"6,300",80 to 90,800 to 900,Aug-23
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,2,"4,900",80 to 90,800 to 900,Aug-23
ONE SHENTON,SHENTON WAY,01,Non-Landed Properties,3,"7,500",140 to 150,"1,500 to 1,600",Aug-23
CAPE ROYALE,COVE WAY,04,Non-Landed Properties,4,"20,000",290 to 300,"3,100 to 3,200",Aug-23
MARINA BAY SUITES,CENTRAL BOULEVARD,01,Non-Landed Properties,3,"9,500",140 to 150,"1,600 to 1,700",Aug-23
THE COAST AT SENTOSA COVE,OCEAN DRIVE,04,Non-Landed Properties,3,"10,800",180 to 190,"2,000 to 2,100",Aug-23
HERITAGE VIEW,DOVER RISE,05,Non-Landed Properties,2,"4,800",90 to 100,"900 to 1,000",Aug-23
ONE-NORTH RESIDENCES,ONE-NORTH GATEWAY,05,Non-Landed Properties,1,"3,600",50 to 60,500 to 600,Aug-23
ICON,GOPENG STREET,02,Non-Landed Properties,1,"4,800",70 to 80,700 to 800,Aug-23
BIJOU,JALAN MAT JAMBOL,05,Non-Landed Properties,1,"3,600",50 to 60,500 to 600,Aug-23
MURANO,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"4,400",90 to 100,"1,000 to 1,100",Aug-23
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,3,"8,600",140 to 150,"1,500 to 1,600",Aug-23
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,1,"3,800",40 to 50,500 to 600,Aug-23
THE CLIFT,MCCALLUM STREET,01,Non-Landed Properties,2,"5,400",70 to 80,700 to 800,Aug-23
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-Landed Properties,1,"3,700",40 to 50,400 to 500,Aug-23
ICON,GOPENG STREET,02,Non-Landed Properties,2,"6,500",80 to 90,"900 to 1,000",Aug-23
THE CASSANDRA,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"5,500",120 to 130,"1,300 to 1,400",Aug-23
TERESA VILLE,LOWER DELTA ROAD,04,Non-Landed Properties,2,"4,500",120 to 130,"1,300 to 1,400",Aug-23
QUEENS PEAK,DUNDEE ROAD,03,Non-Landed Properties,1,"3,500",40 to 50,400 to 500,Aug-23
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,2,"5,500",60 to 70,600 to 700,Aug-23
MARINA BAY RESIDENCES,MARINA BOULEVARD,01,Non-Landed Properties,1,"6,500",60 to 70,700 to 800,Aug-23
BOTANNIA,WEST COAST PARK,05,Non-Landed Properties,4,"7,800",140 to 150,"1,500 to 1,600",Aug-23
THE COAST AT SENTOSA COVE,OCEAN DRIVE,04,Non-Landed Properties,3,"10,500",180 to 190,"2,000 to 2,100",Aug-23
HIGHLINE RESIDENCES,KIM TIAN ROAD,03,Non-Landed Properties,3,"7,200",80 to 90,"900 to 1,000",Aug-23
QUEENS,STIRLING ROAD,03,Non-Landed Properties,3,"6,000",110 to 120,"1,100 to 1,200",Aug-23
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,1,"3,600",40 to 50,500 to 600,Aug-23
THE CLIFT,MCCALLUM STREET,01,Non-Landed Properties,1,"5,500",70 to 80,700 to 800,Aug-23
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,1,"5,450",60 to 70,600 to 700,Aug-23
THE TRILINQ,JALAN LEMPENG,05,Non-Landed Properties,3,"5,500",80 to 90,"900 to 1,000",Aug-23
ONZE @ TANJONG PAGAR,KEE SENG STREET,02,Non-Landed Properties,1,"3,500",50 to 60,500 to 600,Aug-23
THE TRILINQ,JALAN LEMPENG,05,Non-Landed Properties,1,"3,600",50 to 60,500 to 600,Aug-23
ECHELON,ALEXANDRA VIEW,03,Non-Landed Properties,1,"3,900",40 to 50,400 to 500,Aug-23
THE SORRENTO,WEST COAST ROAD,05,Non-Landed Properties,1,"3,200",40 to 50,400 to 500,Aug-23
HERITAGE VIEW,DOVER RISE,05,Non-Landed Properties,3,"7,000",110 to 120,"1,200 to 1,300",Aug-23
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,2,"5,800",80 to 90,"900 to 1,000",Aug-23
CENTRAL GREEN CONDOMINIUM,JALAN MEMBINA,03,Non-Landed Properties,3,"6,000",120 to 130,"1,200 to 1,300",Aug-23
TWIN VEW,WEST COAST VALE,05,Non-Landed Properties,1,"3,500",40 to 50,400 to 500,Aug-23
VARSITY PARK CONDOMINIUM,WEST COAST ROAD,05,Non-Landed Properties,3,"7,000",150 to 160,"1,600 to 1,700",Aug-23
ICON,GOPENG STREET,02,Non-Landed Properties,1,"6,557",70 to 80,700 to 800,Aug-23
THE ANCHORAGE,ALEXANDRA ROAD,03,Non-Landed Properties,3,"6,000",130 to 140,"1,400 to 1,500",Aug-23
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,3,"8,000",130 to 140,"1,400 to 1,500",Aug-23
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,4,"12,200",190 to 200,"2,000 to 2,100",Aug-23
ROBINSON SUITES,ROBINSON ROAD,01,Non-Landed Properties,2,"4,800",50 to 60,600 to 700,Aug-23
SKYLINE RESIDENCES,TELOK BLANGAH ROAD,04,Non-Landed Properties,3,"6,800",120 to 130,"1,300 to 1,400",Aug-23
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,3,"8,500",140 to 150,"1,600 to 1,700",Aug-23
CAPE ROYALE,COVE WAY,04,Non-Landed Properties,3,"10,200",170 to 180,"1,900 to 2,000",Aug-23
SPOTTISWOODE PARK,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,NA,"3,500",70 to 80,800 to 900,Aug-23
THE ANCHORAGE,ALEXANDRA ROAD,03,Non-Landed Properties,2,"5,000",100 to 110,"1,100 to 1,200",Aug-23
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,1,"4,300",50 to 60,600 to 700,Aug-23
TANGLIN VIEW,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,3,"5,800",110 to 120,"1,200 to 1,300",Aug-23
RIVIERE,JIAK KIM STREET,03,Non-Landed Properties,2,"6,500",70 to 80,800 to 900,Aug-23
PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,2,"7,122",70 to 80,700 to 800,Aug-23
DOVER PARKVIEW,DOVER RISE,05,Non-Landed Properties,2,"4,150",90 to 100,"900 to 1,000",Aug-23
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,1,"3,600",40 to 50,500 to 600,Aug-23
ICON,GOPENG STREET,02,Non-Landed Properties,1,"4,300",70 to 80,800 to 900,Aug-23
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,1,"5,000",50 to 60,600 to 700,Aug-23
MARINA COLLECTION,COVE DRIVE,04,Non-Landed Properties,5,"22,000",350 to 360,"3,700 to 3,800",Aug-23
KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,1,"3,800",40 to 50,400 to 500,Aug-23
CAPE ROYALE,COVE WAY,04,Non-Landed Properties,4,"19,000",230 to 240,"2,500 to 2,600",Aug-23
THE ANCHORAGE,ALEXANDRA ROAD,03,Non-Landed Properties,2,"4,600",110 to 120,"1,200 to 1,300",Aug-23
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,2,"4,450",60 to 70,700 to 800,Aug-23
HIGHLINE RESIDENCES,KIM TIAN ROAD,03,Non-Landed Properties,1,"4,500",40 to 50,500 to 600,Aug-23
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,1,"3,500",60 to 70,600 to 700,Aug-23
ALEX RESIDENCES,ALEXANDRA VIEW,03,Non-Landed Properties,3,"7,000",90 to 100,"1,000 to 1,100",Aug-23
QUEENS PEAK,DUNDEE ROAD,03,Non-Landed Properties,1,"3,500",40 to 50,400 to 500,Aug-23
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,2,"5,600",90 to 100,"1,000 to 1,100",Aug-23
THE PARC CONDOMINIUM,WEST COAST WALK,05,Non-Landed Properties,2,"4,500",90 to 100,"900 to 1,000",Aug-23
THE ESTRELLA,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"4,200",100 to 110,"1,100 to 1,200",Aug-23
RIVER PLACE,HAVELOCK ROAD,03,Non-Landed Properties,2,"5,400",90 to 100,"1,000 to 1,100",Aug-23
ONE-NORTH RESIDENCES,ONE-NORTH GATEWAY,05,Non-Landed Properties,1,"5,735",80 to 90,"900 to 1,000",Aug-23
INTERNATIONAL PLAZA,ANSON ROAD,02,Non-Landed Properties,NA,"5,800",130 to 140,"1,400 to 1,500",Aug-23
THE REGENCY AT TIONG BAHRU,CHAY YAN STREET,03,Non-Landed Properties,2,"5,600",80 to 90,"900 to 1,000",Aug-23
TWIN REGENCY,KIM TIAN ROAD,03,Non-Landed Properties,3,"8,500",130 to 140,"1,400 to 1,500",Aug-23
RIVIERE,JIAK KIM STREET,03,Non-Landed Properties,4,"16,000",180 to 190,"2,000 to 2,100",Aug-23
THE INTERLACE,DEPOT ROAD,04,Non-Landed Properties,2,"5,100",70 to 80,800 to 900,Aug-23
FABER CREST,FABER HEIGHTS,05,Non-Landed Properties,3,"5,300",150 to 160,"1,600 to 1,700",Aug-23
MARINA BAY RESIDENCES,MARINA BOULEVARD,01,Non-Landed Properties,2,"8,000",90 to 100,"1,000 to 1,100",Aug-23
CAPE ROYALE,COVE WAY,04,Non-Landed Properties,3,"9,350",160 to 170,"1,700 to 1,800",Aug-23
CARABELLE,WEST COAST WAY,05,Non-Landed Properties,2,"4,600",80 to 90,"900 to 1,000",Aug-23
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,4,"10,000",150 to 160,"1,600 to 1,700",Aug-23
QUEENS,STIRLING ROAD,03,Non-Landed Properties,3,"5,600",110 to 120,"1,100 to 1,200",Aug-23
THE AZURE,OCEAN DRIVE,04,Non-Landed Properties,4,"14,800",290 to 300,"3,100 to 3,200",Aug-23
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,2,"4,300",60 to 70,600 to 700,Aug-23
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,3,"6,100",100 to 110,"1,100 to 1,200",Aug-23
PEOPLE'S PARK COMPLEX,PARK ROAD,01,Non-Landed Properties,NA,"4,900",100 to 110,"1,100 to 1,200",Aug-23
ROYAL PALM MANSIONS,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"5,000",110 to 120,"1,200 to 1,300",Aug-23
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,1,"5,400",50 to 60,600 to 700,Aug-23
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,2,"3,800",50 to 60,600 to 700,Aug-23
THE CLEMENT CANOPY,CLEMENTI AVENUE 1,05,Non-Landed Properties,2,"3,900",50 to 60,600 to 700,Aug-23
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,2,"5,100",60 to 70,700 to 800,Aug-23
ONE SHENTON,SHENTON WAY,01,Non-Landed Properties,2,"6,200",100 to 110,"1,100 to 1,200",Aug-23
ICON,GOPENG STREET,02,Non-Landed Properties,1,"4,200",50 to 60,500 to 600,Aug-23
76 SHENTON,SHENTON WAY,02,Non-Landed Properties,2,"6,300",90 to 100,"900 to 1,000",Aug-23
RIVIERE,JIAK KIM STREET,03,Non-Landed Properties,2,"7,100",70 to 80,800 to 900,Aug-23
PASIR VIEW PARK,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"4,200",120 to 130,"1,300 to 1,400",Aug-23
KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,2,"5,000",70 to 80,700 to 800,Aug-23
ARTRA,ALEXANDRA VIEW,03,Non-Landed Properties,2,"5,600",70 to 80,700 to 800,Aug-23
SKYLINE RESIDENCES,TELOK BLANGAH ROAD,04,Non-Landed Properties,3,"6,800",120 to 130,"1,300 to 1,400",Aug-23
CAPE ROYALE,COVE WAY,04,Non-Landed Properties,4,"16,500",230 to 240,"2,500 to 2,600",Aug-23
THE RESIDENCES AT W SINGAPORE SENTOSA COVE,OCEAN WAY,04,Non-Landed Properties,3,"10,000",150 to 160,"1,600 to 1,700",Aug-23
